Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5, C7",0603,5,10uF,GRM188Z71A106KA73D
"C2, C8",0603,2,0.1uF,GRM188R72A104KA35D
C6,0201,1,120pF,GRM033R71E121KA01D
"D1, D2",D_SOD-323,2,BAT60A,BAT60AE6327HTSA1
"D3, D4",D_SOD-523,2,ESD5Z5.0T1G,ESD5Z5.0T1G
"D5, D8",0603,2,Green,150060VS75000
D6,0201,1,Amber (RX),150060AS75000
D7,0201,1,Green (TX),150060VS75000
D9,0603,1,Amber,150060AS75000
J1,USB_A_Molex_48037-2200_Horizontal,1,USB_A,0480372200
J2,USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,1,USB_B_Micro,10118193-0001LF
J3,BM04B-SRSS-TB_LFSN_,1,BM04B,BM04B-SRSS-TB(LF)(SN)
L1,DFE201610E-R47M=P2,1,470nH DFE201610E-R47M,DFE201610E-R47M=P2
"Q1, Q2",SOT-23,2,MMBT4124,MMBT4124LT1G
Q3,SOT-23,1,BSH111BKR,BSH111BKR
"R1, R11, R2, R9",0201,4,10k,RC0201FR-0710KL
"R10, R12, R13, R16, R17, R3",0201,6,1k,RC0201FR-071KL
R4,0201,1,2k (1%),RC0201FR-072KL
R5,0201,1,22.1k,ERJ-1GNF2212C
R6,0201,1,47.5k,ERJ-1GNF4752C
R7,0201,1,100k,RC0201FR-07100KL
R8,0201,1,453k,RC0201FR-07453KL
"S1, S2, S3, S4, S5",SW_EVQ-P7L01P,5,EVQ-P7L01P,EVQ-P7L01P
U1,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,https://www.lcsc.com/product-detail/WiFi-Modules_Espressif-Systems-ESP32-S3-MINI-1-N8_C2913206.html
U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,https://www.lcsc.com/product-detail/USB-Converters_SKYWORKS-SILICON-LABS-CP2102N-A02-GQFN28_C1550553.html
"U3, U4",Texas_DRT-3,2,TPD2EUSB30A,TPD2EUSB30ADRTR
U5,Texas_VSON-HR-8_1.5x2mm_P0.5mm,1,TPS62823DLC,TPS62823DLCT
U6,"0.1"" plated holes",1,"Drill 0.254mm/0.1"" plated holes",N/A
